Vendor_ID,Country,Risk_Category,Risk_Reason,Risk_Score
100938159,DE,Geopolitical,Ukraine-Russia War,0.9
100938159,DE,Operational,Port Congestion,0.7
100938159,DE,Financial,Vendor has stable finances,0.2
100938159,DE,Economic,Country has Stable economics,0.4
100938159,DE,Social,Labour Shortage,0.6
100938159,DE,Technological,Minimal Technology Dependency,0.2
100938159,DE,Environmental,Floods in West Germany,0.7
100938159,DE,Legal,No Legislations detected,0.2
100084616,CA,Geopolitical,No immediate threat detected,0.3
100084616,CA,Operational,Trucker Protests in Canada,0.7
100084616,CA,Financial,Vendor has stable finances,0.2
100084616,CA,Economic,Country has Stable economics,0.2
100084616,CA,Social,Trucker Protests in Canada,0.8
100084616,CA,Technological,Minimal Technology Dependency,0.2
100084616,CA,Environmental,Floods in West Germany,0.4
100084616,CA,Legal,No Legislations detected,0.2
100350569,US,Geopolitical,No geopolitical threats detected,0.3
100350569,US,Operational,Potential Trucker shortage,0.6
100350569,US,Financial,Vendor has stable finances,0.3
100350569,US,Economic,Country has Stable economics,0.3
100350569,US,Social,Protests occuring in state,0.6
100350569,US,Technological,Minimal Technology Dependency,0.4
100350569,US,Environmental,Extreme Weather detected - Tornado,0.6
100350569,US,Legal,No Legislations detected,0.3
100367166,US,Geopolitical,No geopolitical threats detected,0.3
100367166,US,Operational,Vendor has history of Quality issues,0.5
100367166,US,Financial,Vendor has relatively weak finances,0.6
100367166,US,Economic,Country has Stable economics,0.4
100367166,US,Social,No major issue detected,0.3
100367166,US,Technological,Minimal Technology Dependency,0.2
100367166,US,Environmental,Extreme Weather detected - Flash Flood,0.6
100367166,US,Legal,No Legislations detected,0.4
100350135,US,Geopolitical,No geopolitical threats detected,0.3
100350135,US,Operational,No Operational Risks detected,0.2
100350135,US,Financial,Vendor has stable finances,0.3
100350135,US,Economic,Country has Stable economics,0.2
100350135,US,Social,No major issue detected,0.3
100350135,US,Technological,Minimal Technology Dependency,0.2
100350135,US,Environmental,No extreme weather detected,0.1
100350135,US,Legal,No Legislations detected,0.2
100737245,US,Geopolitical,No geopolitical threats detected,0.3
100737245,US,Operational,Truck shortage,0.7
100737245,US,Financial,Vendor has stable finances,0.4
100737245,US,Economic,Country has Stable economics,0.3
100737245,US,Social,Labour Shortage,0.8
100737245,US,Technological,Minimal Technology Dependency,0.2
100737245,US,Environmental,No extreme weather detected,0.4
100737245,US,Legal,No Legislations detected,0.2
100353748,US,Geopolitical,No geopolitical threats detected,0.3
100353748,US,Operational,Potential Trucker shortage,0.6
100353748,US,Financial,Vendor has stable finances,0.3
100353748,US,Economic,Country has Stable economics,0.3
100353748,US,Social,Protests occuring in state,0.6
100353748,US,Technological,Minimal Technology Dependency,0.4
100353748,US,Environmental,Extreme Weather detected - Tornado,0.6
100353748,US,Legal,No Legislations detected,0.3
100873629,US,Geopolitical,No geopolitical threats detected,0.3
100873629,US,Operational,Vendor has history of Quality issues,0.5
100873629,US,Financial,Vendor has relatively weak finances,0.6
100873629,US,Economic,Country has Stable economics,0.4
100873629,US,Social,No major issue detected,0.3
100873629,US,Technological,Minimal Technology Dependency,0.2
100873629,US,Environmental,Extreme Weather detected - Flash Flood,0.6
100873629,US,Legal,No Legislations detected,0.4
100365080,US,Geopolitical,No geopolitical threats detected,0.3
100365080,US,Operational,No Operational Risks detected,0.2
100365080,US,Financial,Vendor has stable finances,0.3
100365080,US,Economic,Country has Stable economics,0.2
100365080,US,Social,No major issue detected,0.3
100365080,US,Technological,Minimal Technology Dependency,0.2
100365080,US,Environmental,No extreme weather detected,0.1
100365080,US,Legal,No Legislations detected,0.2
