Vendor_ID,Material_ID,VS_City,VS_region,VS_country,Cost_per_unit,Monthly_Capacity,Name,Risk
100366340,43760735,Nelson,KY,US,0.1,2733000,Nolan Group,0.5
100806864,22001170,Morris,NJ,US,5,37600,Schultz Senger and Schmeler,0.2
100498525,43374275,Wallertheim,RP,DE,1.95,1185700,Emard LLC,0.9
100367349,43855539,Oceana,MI,US,1.25,1733900,Roberts LLC,0.3
100368536,43374275,Johnson,KS,US,2,932300,Grant-Kutch,0.2
100938159,43876930,Wallertheim,RP,DE,2.5,200400,Kihn-Corwin,0.9
100369162,43760735,Gwinnett,GA,US,0.1,3996900,Schulist-Nikolaus,0.1
100364903,22017847,Wood,OH,US,0.9,1755000,Glover-Cronin,0.5
100783868,43876930,Calumet,WI,US,2.6,431000,Terry McKenzie and Beer,0.5
100364230,22001170,Saint Louis City,MO,US,5,44300,Kiehn Lueilwitz and Hegmann,0.3
100074079,22017847,Yuncheng,SD,CN,0.7,2181400,Welch Inc,0.9
101022661,43855539,Benzie,MI,US,1.25,1330500,Bernier and Sons,0.5
100454856,43682187,Wheeling,IL,US,0.85,2613000,Lindgren-Marks,0.8
101059711,43682187,Shelby,TN,US,0.9,2883500,Dietrich Von and Schinner,0.7
100645090,43853389,Hennepin,MN,US,5.3,608600,Dickens-Grant,0.2
101119890,43853389,Calumet,WI,US,5.4,540900,Mills-Towne,0.4
100084616,43876930,Concord,ON,CA,2.5,117800,Weimann-Auer,0.2
100350569,43876930,Hennepin,MN,US,2.6,196800,Dietrich LLC,0.1
100367166,43876930,Calumet,WI,US,2.6,384300,Ruecker-Balistreri,0.1
100455541,43876930,Hancock,OH,US,2.58,189200,Luettgen-Heaney,0.2
100351456,43876930,Wyandotte,KS,US,2.43,1341200,Labadie Inc,0.3
101234485,43876930,Russell,KS,US,2.5,643200,Wilderman Marvin and Lehner,0.2
100896392,43876930,Hennepin,MN,US,2.52,762300,Willms LLC,0.4
100350135,43876930,King,WA,US,2.6,555900,Walter Dietrich and Macejkovic,0.1
100737245,43876930,Hancock,OH,US,2.7,117800,Bartoletti-Waters,0.8
100353748,43876930,Wyandotte,KS,US,2.7,196800,Beatty Group,0.6
100873629,43876930,Russell,KS,US,2.7,384300,Conn Group,0.6
100365080,43876930,Johnson,KS,US,2.7,189200,Turner-Pouros,0.3
